sorting number	name	instance of	date of birth	date of death	sex	occupation or domain	geographic circles	Bibliotheque nationale de France Catalogue	data.bnf	Wikidata	ISNI	VIAF	Annuaire prosopographique : la France savante	In Who Was Who in Egyptology	Note
261	Le secrétaire général du Ministre de l'Instruction publique	position	unknown	unknown	male	civil servant	France							no	
262	Le Secrétaire perpétuel de l'Académie des Inscriptions et Belles Lettres	position	unknown	unknown	male	unknown	France							no	
263	Le sous-préfet de Châlons-sur-Saône	position	unknown	unknown	male	civil servant	Saône-et-Loire							no	
264	Leblois, président du Consistoire au Temple neuf à Strasbourg	human	unknown	unknown	male	unknown	France			https://www.wikidata.org/wiki/Q3102116				no	
265	Lecot, E.	human	unknown	unknown	male	unknown	unknown							no	
266	Leemans, Conrad	human	1809	1893	male	egyptologist ; curator ; orientalist	Netherlands			https://www.wikidata.org/wiki/Q5943756			https://cths.fr/an/savant.php?id=124256	yes	
267	Lefébure, Eugène	human	1838	1908	male	egyptologist ; professor	France ; Paris ; Rhône			https://www.wikidata.org/wiki/Q1373523			https://cths.fr/an/savant.php?id=107775	yes	
268	Lefébure, Joseph	human	1838	1908	male	archaeologist ; anthropologist ; egyptologist	France	https://catalogue.bnf.fr/ark:/12148/cb12333535b	https://data.bnf.fr/ark:/12148/cb12333535b	https://www.wikidata.org/wiki/Q1373523	http://isni.org/isni/0000000122795025	http://viaf.org/viaf/46832513		no	
269	Lejean, Guillaume	human	1824	1871	male	traveller; geographer	France	https://catalogue.bnf.fr/ark:/12148/cb11912276b	https://data.bnf.fr/ark:/12148/cb11912276b	https://www.wikidata.org/wiki/Q322885	http://isni.org/isni/0000000118865086	http://viaf.org/viaf/67247792		no	
270	Leleux	human	unknown	unknown	unknown	unknown	unknown							no	
271	Lepage-Renouf, Peter	human	1822	1897	male	egyptologist ; archaeologist	United Kingdom	https://catalogue.bnf.fr/ark:/12148/cb155365485	https://data.bnf.fr/ark:/12148/cb155365485	https://www.wikidata.org/wiki/Q706076	http://isni.org/isni/0000000081258521	http://viaf.org/viaf/47075121		yes	
272	Lépine, Frédéric	human	unknown	unknown	male	unknown	France ; Burgundy							no	From Dijon (Côte-d'Or)
273	Lepsius, Richard	human	1810	1884	male	anthropologist ; linguist ; librarian ; archaeologist ; egyptologist ; professor	Germany	https://catalogue.bnf.fr/ark:/12148/cb12416893t	https://data.bnf.fr/ark:/12148/cb12416893t	https://www.wikidata.org/wiki/Q77231	http://isni.org/isni/0000000121373787	http://viaf.org/viaf/66554760	https://cths.fr/an/savant.php?id=124833	yes	
274	Leroux, Ernest	human	1845	1917	male	publisher ; bookseller	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb15240618r	https://data.bnf.fr/ark:/12148/cb15240618r	https://www.wikidata.org/wiki/Q3057051	http://isni.org/isni/0000000068787031	http://viaf.org/viaf/15533235	https://cths.fr/an/savant.php?id=115099	no	
275	Lesley, J.P.	human	1819	1903	male	geologist ; professor	United States			https://www.wikidata.org/wiki/Q1676376	http://isni.org/isni/0000000107731306	http://viaf.org/viaf/15552186 		no	BiÉg 9, p. XCVII: secretary to the American Philosophical Society (Philadelphia)
276	Lesne, L.	human	unknown	unknown	unknown	unknown	unknown							no	
277	Lewis, S.S.	human	1836	1891	male	librarian ; priest ; collector	United Kingdom	https://catalogue.bnf.fr/ark:/12148/cb12346363z	https://data.bnf.fr/ark:/12148/cb12346363z	https://www.wikidata.org/wiki/Q18672307	http://isni.org/isni/0000000061369726	http://viaf.org/viaf/42649416	https://cths.fr/an/savant.php?id=125920#	no	From Cambridge University Library
278	Librairie Claudin	human	1833	1906	male	bookseller	France			https://www.wikidata.org/wiki/Q44400352		https://viaf.org/viaf/703155648118218330008		no	
279	Lieblein, Jens	human	1827	1911	male	linguist ; egyptologist	Norway	https://catalogue.bnf.fr/ark:/12148/cb10661325v	https://data.bnf.fr/ark:/12148/cb10661325v	https://www.wikidata.org/wiki/Q2578997	http://isni.org/isni/0000000121016990	http://viaf.org/viaf/59850287		yes	
280	Lièvre, F.	human	unknown	unknown	unknown	unknown	unknown							no	
281	Linas, Charles de	human	1812	1887	male	historian	Nord	https://catalogue.bnf.fr/ark:/12148/cb12735388j	https://data.bnf.fr/ark:/12148/cb12735388j	https://www.wikidata.org/wiki/Q55672589	http://isni.org/isni/000000006632579X	http://viaf.org/viaf/27191527	https://cths.fr/an/savant.php?id=501	no	
282	Lockwood, Phebe	human	unknown	unknown	female	unknown	unknown							no	
283	Longpérier, Adrien de	human	1816	1882	male	numismatist ; archaeologist ; curator ; assyriologist ; orientalist	France ; Paris	https://catalogue.bnf.fr/ark:/12148/cb12568704s	https://data.bnf.fr/ark:/12148/cb12568704s	https://www.wikidata.org/wiki/Q127218	http://isni.org/isni/0000000120956147	http://viaf.org/viaf/12424536	https://cths.fr/an/savant.php?id=506	yes	
284	Longuy, Henry de	human	unknown	unknown	male	unknown	unknown							no	
285	Loriol, Perceval de	human	1828	1908	male	paleontologist ; geologist	Switzerland	https://catalogue.bnf.fr/ark:/12148/cb10505298b	https://data.bnf.fr/ark:/12148/cb10505298b	https://www.wikidata.org/wiki/Q1592441	http://isni.org/isni/0000000121383870	http://viaf.org/viaf/69702353	https://cths.fr/an/savant.php?id=114179	no	
286	Lumbroso, Giacomo	human	1844	1925	male	archaeologist ; historian ; egyptologist ; professor ; papyrologist	Italy	https://catalogue.bnf.fr/ark:/12148/cb128074327	https://data.bnf.fr/ark:/12148/cb128074327	https://www.wikidata.org/wiki/Q1114705	http://isni.org/isni/0000000121358253	http://viaf.org/viaf/61674430		no	
287	Madame ???	human	unknown	unknown	female	unknown	unknown							no	
288	Madier de Montjau/Madier-Montjau, Édouard	human	unknown	unknown	male	unknown	unknown							no	
289	Maillard, J.	human	unknown	unknown	male	priest	France							no	Parish priest of Thorigné
